Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50038111000117102-Hospital-Case-5.json	4334	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	23	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046921000117106-Community-Case-1.json	4290	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046921000117106-Community-Case-2.json	4263	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046921000117106-Community-Case-3.json	4280	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	14	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046921000117106-Community-Case-4.json	4931	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046921000117106-Hospital-Case-5.json	4245	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	31	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046931000117109-Community-Case-1.json	4774	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	27	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046931000117109-Community-Case-2.json	4751	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	28	0	0	0	0	0	1
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046931000117109-Community-Case-3.json	4748	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	28	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046931000117109-Community-Case-4.json	4979	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	27	0	0	0	2	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50046931000117109-Hospital-Case-5.json	4289	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	27	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50048881000117104-Community-Case-1.json	4260	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	28	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50048881000117104-Community-Case-2.json	4233	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	27	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50048881000117104-Community-Case-3.json	4250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	28	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50048881000117104-Hospital-Case-5.json	4214	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	7	25	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50055641000117102-Hospital-Case-7.json	4277	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	27	0	0	0	2	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50058961000117103-Community-Case-1.json	4343	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	28	0	0	0	1	0	1
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50058961000117103-Community-Case-3.json	4333	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	26	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50058961000117103-Community-Case-4.json	4984	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	19	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50058961000117103-Hospital-Case-5.json	4298	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50074861000117103-Community-Case-1.json	4298	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50074861000117103-Hospital-Case-5.json	4253	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	2	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50083491000117102-Community-Case-1.json	5021	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	26	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50083491000117102-Hospital-Case-5.json	4259	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	28	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50085781000117107-Community-Case-1.json	4323	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	27	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50085781000117107-Community-Case-2.json	4296	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	29	0	0	0	1	0	1
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50085781000117107-Community-Case-3.json	4313	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	2	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50085781000117107-Community-Case-4.json	4968	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50085781000117107-Hospital-Case-5.json	4278	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50120021000117104-Community-Case-1.json	4931	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	19	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50120021000117104-Community-Case-2.json	4904	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50120021000117104-Community-Case-3.json	4921	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50120021000117104-Hospital-Case-7.json	4302	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	2	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50121491000117102-Community-Case-1.json	4948	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	14	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50121491000117102-Hospital-Case-5.json	4230	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	1
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50148261000117103-Community-Case-1.json	5453	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50148261000117103-Hospital-Case-5.json	4284	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50225401000117106-Community-Case-1.json	4936	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	8	13	0	0	1	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50225401000117106-Community-Case-2.json	4909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50225401000117106-Community-Case-3.json	4926	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50225401000117106-Hospital-Case-7.json	4307	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50227471000117107-Community-Case-4.json	4994	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	8	16	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50227471000117107-Hospital-Case-5.json	4304	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50242281000117106-Community-Case-1.json	4938	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	14	0	0	0	0	0	1
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50242281000117106-Community-Case-2.json	4911	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50242281000117106-Community-Case-3.json	4928	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50242281000117106-Hospital-Case-7.json	4309	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	2	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50248381000117100-Community-Case-1.json	4309	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50248381000117100-Community-Case-2.json	4282	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	14	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50248381000117100-Community-Case-3.json	4299	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50248381000117100-Hospital-Case-5.json	4264	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50270251000117100-Community-Case-1.json	5055	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	8	12	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50270251000117100-Hospital-Case-5.json	4273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	43	0	0	0	2	0	1
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50277841000117102-Community-Case-1.json	5312	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	29	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50277841000117102-Hospital-Case-5.json	4388	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	24	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50283011000117109-Community-Case-1.json	5033	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	24	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50283011000117109-Hospital-Case-5.json	4316	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	26	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50289761000117107-Community-Case-1.json	5199	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	26	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50289761000117107-Hospital-Case-5.json	4949	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	8	16	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50301271000117101-Community-Case-1.json	4333	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50301271000117101-Community-Case-2.json	4306	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50301271000117101-Community-Case-3.json	4323	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	1
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50301271000117101-Community-Case-4.json	4978	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	8	21	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50301271000117101-Hospital-Case-5.json	4289	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50308221000117108-Community-Case-1.json	5013	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	2	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50320741000117103-Community-Case-1.json	5003	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	12	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50320741000117103-Hospital-Case-5.json	4266	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50324571000117108-Community-Case-1.json	5192	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50324571000117108-Hospital-Case-5.json	4916	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50350151000117104-Community-Case-1.json	5158	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-50350151000117104-Hospital-Case-5.json	4227	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	13	0	0	0	4	0	1
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA1098-Authorization.json	2015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA1329-Authorization.json	1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA1683-Authorization.json	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	9	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA2139-Authorization.json	1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
